epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,0.11222550698618032,0.9894626488535254,0.9893018399073844,0.05883466235416196,0.9818090578346506,0.9838516448453521
2,0.019565539716216038,0.9940055374855514,0.993252528560673,0.056133393695604834,0.9824363317024213,0.984411620980337
3,0.010970069190143447,0.9967473992634607,0.9960033622244144,0.054896618427145,0.9841926985321792,0.9857292369773193
4,0.007161059515970473,0.9972043762264455,0.9974108162108147,0.06472226820224755,0.9809308744197717,0.9832764455057793
5,0.00568611935373192,0.9983064971371738,0.9976311501735259,0.06828689285127504,0.982185422155313,0.9831269738883704
6,0.00371537056368316,0.9989247600870944,0.9987427558499862,0.07658615019888343,0.9816836030610965,0.9846696803791023
7,0.003386629300035101,0.9988441170936265,0.9988919631508674,0.06892554186377706,0.9824363317024213,0.9853787606431506
8,0.0030704396429297874,0.9995161420391925,0.9994129540124428,0.08365522337595374,0.979299962363568,0.9828113558189594
9,0.0023042622450763694,0.9995161420391925,0.9996245866004848,0.0754037012654481,0.9814326935139882,0.9845848512826522
10,0.002431453968689657,0.9995161420391925,0.9996245535917184,0.07070866121730114,0.9829381507966378,0.9857683478364359
11,0.0030285106553956287,0.999623666030483,0.9997079218883291,0.08085920101033195,0.9806799648726634,0.9839027986256857
12,0.002903843472005142,0.9995161420391925,0.9996245370812923,0.0809290569348289,0.9810563291933259,0.9842848091827291
13,0.002269199943515412,0.999704309023951,0.9997705252035299,0.08303899906681114,0.9804290553255551,0.9837608911970513
14,0.0021646899802568987,0.9997311900217736,0.999791381958795,0.08784422534135512,0.9804290553255551,0.983722629895999
15,0.001992026298284181,0.999704309023951,0.9997705453927916,0.08854262455293757,0.9804290553255551,0.983757722681367
16,0.0020503489183843794,0.9993548560522567,0.9994993827750563,0.092125747134115,0.9805545100991093,0.9838633880646261
17,0.002906530698837824,0.9995161420391925,0.9994129233679697,0.08708895177200324,0.9800526910048928,0.9825012754454606
18,0.002698328183424118,0.9987903550979812,0.9965419460742261,0.1040390862336956,0.9782963241751349,0.9790902773905437
19,0.004861391333743328,0.998736593102336,0.9979651809503097,0.09318845315345221,0.9798017814577845,0.9823885545129117
20,0.003894055167400758,0.9989785220827397,0.9985737568022838,0.08148582940317799,0.9818090578346506,0.9849303382221253
